equation_id,frames,coverage,invalid_lengths,resync_distance,tail,score,survives_train,confidence,reason
eq00594,36,0.9984,684,684,118,73.536,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01551,43,0.9973,664,664,204,73.51,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01839,43,0.9973,664,664,205,73.51,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02127,43,0.9973,664,664,206,73.51,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02343,43,0.9973,664,664,207,73.51,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00831,43,0.9973,665,665,204,73.508,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01119,43,0.9973,665,665,205,73.508,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01335,43,0.9973,665,665,206,73.508,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00399,43,0.9973,666,666,204,73.506,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00615,43,0.9973,666,666,205,73.506,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00183,43,0.9973,667,667,204,73.504,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00190,43,0.9973,667,667,204,73.504,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01530,34,0.9989,720,720,82,73.494,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01818,34,0.9989,720,720,83,73.494,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02106,34,0.9989,720,720,84,73.494,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
